date,point
2024-03-11T20:38:05.933317,415369
2024-03-11T21:31:47.436013,1071186
2024-03-11T21:59:46.046518,1387835
2024-03-11T22:57:25.405564,1943965
2024-03-11T23:59:22.781952,2462478
2024-03-12T01:48:01.722305,3200179
2024-03-12T08:07:38.426858,4260115
2024-03-12T11:46:56.639903,5212729
2024-03-12T14:08:41.571855,5873305
2024-03-12T15:46:00.686588,6382495
2024-03-12T17:45:49.840887,7180875
2024-03-12T18:02:02.428716,7272802
2024-03-12T19:18:55.426359,7730822
2024-03-12T20:00:34.525347,7906376
2024-03-12T20:49:54.742613,8249075
2024-03-12T22:31:42.075676,9103422
2024-03-13T00:04:29.444607,9982884
2024-03-13T00:28:56.440576,10121924
2024-03-13T01:44:20.102527,10602009
2024-03-13T11:23:39.947664,12637797
2024-03-13T12:20:47.974122,12982392
2024-03-13T13:02:29.124981,13144886
2024-03-13T21:00:15.635908,16584857
2024-03-13T22:02:15.425969,17052495
2024-03-13T22:32:48.741441,17369668
2024-03-13T23:00:08.200765,17574956
2024-03-14T06:04:41.326019,20646865
2024-03-14T06:46:50.986138,20783815
2024-03-14T09:31:26.652240,21541366
2024-03-14T10:12:32.140087,21754325
2024-03-14T11:02:44.206663,22109824
2024-03-14T14:03:18.634364,23984072
2024-03-14T16:00:34.924442,25442494
2024-03-14T16:22:50.457956,25795053
2024-03-14T16:47:01.532835,26195640
2024-03-14T17:06:34.872168,26488652
2024-03-14T18:33:58.351962,27855559
2024-03-14T18:52:58.041974,28226656
2024-03-14T19:06:20.703659,28524386
2024-03-14T19:18:56.644734,28745577
2024-03-14T20:00:00.000000,28745577
